design_index,preset,is_control,design_seed,spine_scale,design_notes,params
27,corynexochida,0,7,0.2961,,"{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.29671520410519153, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.5, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.12, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 0.9, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.0740181831763713, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.7, ""glabLobes"": 0, ""glabRise"": 0.2, ""headDomeExp"": 1.5, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 161.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.42658065158329184, ""pleuralSlope"": 0.74, ""pygFrac"": 0.31290692653871677, ""pygMarginal"": 0, ""pygMarginalLen"": 0.1480363663527426, ""pygRings"": 0, ""pygSpine"": 0.2960727327054852, ""pygSplay"": 14.0, ""pygWidth"": 0.95, ""relief"": 19.08618607907937, ""ringArch"": 0.22, ""segCount"": 6, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 69.5, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.2, ""widthTail"": 0.5, ""widthThoraxFront"": 0.93, ""widthThoraxRear"": 0.7055962553370335}"
28,corynexochida,1,7,,,"{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.3, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.5, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.0, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 0.9, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.25, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.7, ""glabLobes"": 0, ""glabRise"": 0.2, ""headDomeExp"": 1.5, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 161.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.45, ""pleuralSlope"": 0.74, ""pygFrac"": 0.3, ""pygMarginal"": 0, ""pygMarginalLen"": 0.5, ""pygRings"": 0, ""pygSpine"": 1.0, ""pygSplay"": 14.0, ""pygWidth"": 0.95, ""relief"": 17.1, ""ringArch"": 0.22, ""segCount"": 8, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 69.5, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.2, ""widthTail"": 0.5, ""widthThoraxFront"": 0.93, ""widthThoraxRear"": 0.62}"
29,corynexochida,1,7,,,"{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.3, ""cephParallel"": 0.05, ""clearance"": 0.3, ""effacement"": 0.5, ""eyeArc"": 150.0, ""eyeHeight"": 0.8, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.45, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 0.9, ""genalCurve"": 10.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.25, ""genalSweep"": 0.3, ""genalTaper"": 2.0, ""genalWidth"": 0.12, ""genalWidthMM"": 0.0, ""glabFront"": 2.5, ""glabInflate"": 1.7, ""glabLobes"": 0, ""glabRise"": 0.2, ""headDomeExp"": 1.5, ""headDomeFill"": 0.82, ""headOutlineExp"": 2.15, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.0, ""headRearExp"": 2.2, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 161.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.14, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.45, ""pleuralSlope"": 0.74, ""pygFrac"": 0.3, ""pygMarginal"": 0, ""pygMarginalLen"": 0.5, ""pygRings"": 0, ""pygSpine"": 1.0, ""pygSplay"": 14.0, ""pygWidth"": 0.95, ""relief"": 17.1, ""ringArch"": 0.22, ""segCount"": 8, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.85, ""wall"": 2.0, ""width"": 69.5, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.2, ""widthTail"": 0.5, ""widthThoraxFront"": 0.93, ""widthThoraxRear"": 0.62}"
30,harpetida,0,7,1.2692,"genalSpine: 1.523049972791994 clamped to [0.0, 1.5]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.31757244423128445, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 1.5, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.4322605781627351, ""pleuralSlope"": 0.74, ""pygFrac"": 0.11230921832957362, ""pygMarginal"": 0, ""pygMarginalLen"": 0.6346041553299975, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 16.624004773668624, ""ringArch"": 0.22, ""segCount"": 11, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.5006640216898471}"
31,harpetida,0,7,0.5752,"widthThoraxRear: 0.2571820193996581 clamped to [0.3, 1.0]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.44824248201891415, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.6902107931866637, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.2545493582553908, ""pleuralSlope"": 0.74, ""pygFrac"": 0.10138334231834933, ""pygMarginal"": 0, ""pygMarginalLen"": 0.2875878304944432, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 10.912298086671257, ""ringArch"": 0.22, ""segCount"": 7, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.3}"
32,harpetida,0,7,0.4638,"cephFrac: 0.5184608578023263 clamped to [0.18, 0.45]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.45, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.5565155822453621, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.7832355143048937, ""pleuralSlope"": 0.74, ""pygFrac"": 0.12819620848960606, ""pygMarginal"": 0, ""pygMarginalLen"": 0.23188149260223423, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 13.390395551534507, ""ringArch"": 0.22, ""segCount"": 8, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.5078560163523675}"
33,harpetida,0,7,0.9436,,"{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.3313045117052946, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 1.1323256234951682, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.63693250862766, ""pleuralSlope"": 0.74, ""pygFrac"": 0.08318267998388791, ""pygMarginal"": 0, ""pygMarginalLen"": 0.4718023431229868, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 22.092282322182214, ""ringArch"": 0.22, ""segCount"": 8, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.5874906064375544}"
34,harpetida,0,7,0.8088,"cephFrac: 0.5081854145987266 clamped to [0.18, 0.45];widthThoraxRear: 0.2989037723742667 clamped to [0.3, 1.0]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.45, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.970607408939348, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.7005650742826408, ""pleuralSlope"": 0.74, ""pygFrac"": 0.0904097141022604, ""pygMarginal"": 0, ""pygMarginalLen"": 0.4044197537247284, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 19.4725092284012, ""ringArch"": 0.22, ""segCount"": 10, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.3}"
35,harpetida,0,7,1.371,"genalSpine: 1.6452519016893814 clamped to [0.0, 1.5]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.3773024311252394, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 1.5, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.377804959611969, ""pleuralSlope"": 0.74, ""pygFrac"": 0.11833599268320083, ""pygMarginal"": 0, ""pygMarginalLen"": 0.685521625703909, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 13.915665623938382, ""ringArch"": 0.22, ""segCount"": 6, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.3854259174837496}"
36,harpetida,0,7,0.135,"cephFrac: 0.47421064294201426 clamped to [0.18, 0.45];pygMarginalLen: 0.06747641616924147 clamped to [0.1, 1.5]","{""axialSpine"": 0.0, ""axisFrac"": 0.28, ""axisRise"": 0.0, ""axisSigma"": 0.55, ""barrelR"": 2.6, ""bladeCamber"": 0.14, ""bladeChord"": 0.9, ""borderWidth"": 0.0, ""boreDia"": 1.95, ""cephFrac"": 0.45, ""cephParallel"": 0.02, ""clearance"": 0.3, ""effacement"": 0.0, ""eyeArc"": 150.0, ""eyeHeight"": 1.0, ""eyeLat"": 0.0, ""eyePos"": 0.45, ""eyeProfile"": 4.0, ""eyeShade"": 0.0, ""eyeSize"": 0.05, ""eyeSlope"": 15.0, ""eyeSolid"": 0, ""fulcrum"": 0.55, ""furrowDepth"": 1.2, ""genalCurve"": 2.0, ""genalPath"": ""s**2"", ""genalSpine"": 0.1619433988061795, ""genalSweep"": 0.05, ""genalTaper"": 0.6, ""genalWidth"": 0.3, ""genalWidthMM"": 5.0, ""glabFront"": 2.5, ""glabInflate"": 1.35, ""glabLobes"": 3, ""glabRise"": 0.12, ""headDomeExp"": 1.42, ""headDomeFill"": 0.61, ""headOutlineExp"": 1.89, ""headProngCenter"": 1.0, ""headProngCurl"": 0.0, ""headProngLen"": 0.6, ""headProngSplay"": 30.0, ""headProngStem"": 0.0, ""headProngWidth"": 0.45, ""headProngs"": 0, ""headRearArc"": 0.12, ""headRearExp"": 2.0, ""headRelief"": 1.0, ""headWall"": 1.0, ""length"": 151.0, ""lensD"": 0.16, ""lensGap"": 0.3, ""lensRise"": 0.35, ""macroAmp"": 0.8, ""macroIndex"": -1, ""marginHeight"": 0.33, ""maxAngle"": 18.0, ""nKnuckles"": 3, ""occipitalSpine"": 0.0, ""overlap"": 0.5048159000124579, ""pleuralSlope"": 0.74, ""pygFrac"": 0.09533635246593115, ""pygMarginal"": 0, ""pygMarginalLen"": 0.1, ""pygRings"": 2, ""pygSpine"": 0.0, ""pygSplay"": 16.0, ""pygWidth"": 0.82, ""relief"": 18.400238336143214, ""ringArch"": 0.22, ""segCount"": 11, ""spineBase"": 0.0, ""spineGrad"": 0.0, ""spineSweep"": 45.0, ""tailDomeExp"": 2.0, ""tailProngCenter"": 1.0, ""tailProngCurl"": 0.0, ""tailProngLen"": 0.5, ""tailProngSplay"": 30.0, ""tailProngStem"": 0.0, ""tailProngWidth"": 0.45, ""tailProngs"": 0, ""tailRelief"": 1.0, ""tailWall"": 1.0, ""tent"": 1.0, ""termSpine"": 0.0, ""tipSweep"": 0.75, ""tipTaper"": 0.7, ""wall"": 2.0, ""width"": 72.0, ""widthHeadFront"": 0.75, ""widthMaxPos"": 0.12, ""widthTail"": 0.3, ""widthThoraxFront"": 0.6, ""widthThoraxRear"": 0.3601480232208188}"
